strain_name,plate_pos,date_collection,site_collection,plant_num,leaf_num,OTU_assignment
plate1.A10,A10,11_12_2015,Eyach,153,b,OTU1
plate1.A11,A11,11_12_2015,Eyach,171,b,OTU1
plate1.A12,A12,11_12_2015,Eyach,171,b,OTU1
plate1.A2,A2,11_12_2015,Eyach,107,a,OTU1
plate1.A3,A3,11_12_2015,Eyach,160,b,OTU1
plate1.A4,A4,11_12_2015,Eyach,160,b,OTU1
plate1.A5,A5,11_12_2015,Eyach,101,a,OTU1
plate1.A7,A7,11_12_2015,Eyach,97,a,OTU1
plate1.A8,A8,11_12_2015,Eyach,136,a,OTU1
plate1.A9,A9,11_12_2015,Eyach,136,a,OTU1
plate1.B1,B1,11_12_2015,Eyach,107,a,OTU1
plate1.B10,B10,11_12_2015,Eyach,153,b,OTU1
plate1.B11,B11,11_12_2015,Eyach,171,b,OTU1
plate1.B12,B12,11_12_2015,Eyach,171,b,OTU1
plate1.B2,B2,11_12_2015,Eyach,107,a,OTU1
plate1.B3,B3,11_12_2015,Eyach,160,b,OTU1
plate1.B4,B4,11_12_2015,Eyach,160,b,OTU1
plate1.B5,B5,11_12_2015,Eyach,101,a,OTU1
plate1.B6,B6,11_12_2015,Eyach,101,a,OTU1
plate1.B7,B7,11_12_2015,Eyach,97,a,OTU1
plate1.B8,B8,11_12_2015,Eyach,136,a,OTU1
plate1.B9,B9,11_12_2015,Eyach,136,a,OTU1
plate1.C1,C1,11_12_2015,Eyach,116,a,OTU1
plate1.C10,C10,11_12_2015,Eyach,137,a,OTU1
plate1.C11,C11,11_12_2015,Eyach,137,a,OTU1
plate1.C12,C12,11_12_2015,Eyach,98,a,OTU1
plate1.C2,C2,11_12_2015,Eyach,182,b,OTU1
plate1.C3,C3,11_12_2015,Eyach,182,b,OTU1
plate1.C4,C4,11_12_2015,Eyach,103,a,OTU1
plate1.C5,C5,11_12_2015,Eyach,139,a,OTU4
plate1.C6,C6,11_12_2015,Eyach,122,a,OTU1
plate1.C7,C7,11_12_2015,Eyach,170,b,OTU1
plate1.C8,C8,11_12_2015,Eyach,159,b,OTU1
plate1.C9,C9,11_12_2015,Eyach,159,b,OTU1
plate1.D1,D1,11_12_2015,Eyach,116,a,OTU1
plate1.D10,D10,11_12_2015,Eyach,137,a,OTU1
plate1.D11,D11,11_12_2015,Eyach,137,a,OTU1
plate1.D12,D12,11_12_2015,Eyach,98,a,OTU1
plate1.D2,D2,11_12_2015,Eyach,182,b,OTU1
plate1.D3,D3,11_12_2015,Eyach,182,b,OTU1
plate1.D4,D4,11_12_2015,Eyach,103,a,OTU1
plate1.D5,D5,11_12_2015,Eyach,139,a,OTU1
plate1.D6,D6,11_12_2015,Eyach,122,a,OTU1
plate1.D7,D7,11_12_2015,Eyach,170,b,OTU1
plate1.D8,D8,11_12_2015,Eyach,159,b,OTU1
plate1.D9,D9,11_12_2015,Eyach,159,b,OTU1
plate1.E1,E1,11_12_2015,Eyach,98,a,OTU1
plate1.E3,E3,11_12_2015,Eyach,108,a,OTU1
plate1.E4,E4,11_12_2015,Eyach,108,a,OTU1
plate1.E5,E5,11_12_2015,Eyach,123,a,OTU1
plate1.E6,E6,11_12_2015,Eyach,135,a,OTU7
plate1.E7,E7,11_12_2015,Eyach,99,a,OTU1
plate1.E8,E8,11_12_2015,Eyach,99,a,OTU1
plate1.F1,F1,11_12_2015,Eyach,98,a,OTU2
plate1.F10,F10,11_12_2015,Eyach,106,a,OTU1
plate1.F12,F12,11_12_2015,Eyach,155,b,OTU1
plate1.F2,F2,11_12_2015,Eyach,98,a,OTU2
plate1.F3,F3,11_12_2015,Eyach,108,a,OTU1
plate1.F4,F4,11_12_2015,Eyach,108,a,OTU1
plate1.F5,F5,11_12_2015,Eyach,123,a,OTU1
plate1.F7,F7,11_12_2015,Eyach,99,a,OTU1
plate1.F8,F8,11_12_2015,Eyach,99,a,OTU1
plate1.F9,F9,11_12_2015,Eyach,106,a,OTU1
plate1.G1,G1,11_12_2015,Eyach,114,a,OTU1
plate1.G11,G11,11_12_2015,Eyach,172,b,OTU1
plate1.G12,G12,11_12_2015,Eyach,124,a,OTU2
plate1.G2,G2,11_12_2015,Eyach,93,a,OTU1
plate1.G3,G3,11_12_2015,Eyach,93,a,OTU1
plate1.G4,G4,11_12_2015,Eyach,184,b,OTU1
plate1.G5,G5,11_12_2015,Eyach,119,a,OTU1
plate1.G6,G6,11_12_2015,Eyach,132,a,OTU1
plate1.G7,G7,11_12_2015,Eyach,132,a,OTU1
plate1.G8,G8,11_12_2015,Eyach,134,a,OTU1
plate1.G9,G9,11_12_2015,Eyach,134,a,OTU1
plate1.H1,H1,11_12_2015,Eyach,114,a,OTU1
plate1.H11,H11,11_12_2015,Eyach,152,b,OTU1
plate1.H12,H12,11_12_2015,Eyach,152,b,OTU1
plate1.H2,H2,11_12_2015,Eyach,93,a,OTU1
plate1.H3,H3,11_12_2015,Eyach,93,a,OTU1
plate1.H4,H4,11_12_2015,Eyach,184,b,OTU1
plate1.H5,H5,11_12_2015,Eyach,119,a,OTU1
plate1.H6,H6,11_12_2015,Eyach,132,a,OTU1
plate1.H7,H7,11_12_2015,Eyach,132,a,OTU1
plate1.H8,H8,11_12_2015,Eyach,134,a,OTU5
plate1.H9,H9,11_12_2015,Eyach,181,b,OTU1
plate11.A1,A1,11_12_2015,Eyach,107,a,OTU1
plate11.A10,A10,11_12_2015,Eyach,175,b,OTU1
plate11.A11,A11,11_12_2015,Eyach,171,b,OTU1
plate11.A12,A12,11_12_2015,Eyach,155,b,OTU1
plate11.A2,A2,11_12_2015,Eyach,107,a,OTU1
plate11.A3,A3,11_12_2015,Eyach,160,b,OTU1
plate11.A4,A4,11_12_2015,Eyach,160,b,OTU4
plate11.A5,A5,11_12_2015,Eyach,101,a,OTU1
plate11.A6,A6,11_12_2015,Eyach,97,a,OTU2
plate11.A7,A7,11_12_2015,Eyach,136,a,OTU1
plate11.A8,A8,11_12_2015,Eyach,136,a,OTU1
plate11.A9,A9,11_12_2015,Eyach,149,b,OTU1
plate11.B1,B1,11_12_2015,Eyach,107,a,OTU1
plate11.B10,B10,11_12_2015,Eyach,175,b,OTU1
plate11.B11,B11,11_12_2015,Eyach,171,b,OTU1
plate11.B12,B12,11_12_2015,Eyach,155,b,OTU1
plate11.B2,B2,11_12_2015,Eyach,107,a,OTU1
plate11.B4,B4,11_12_2015,Eyach,160,b,OTU4
plate11.B5,B5,11_12_2015,Eyach,101,a,OTU4
plate11.B6,B6,11_12_2015,Eyach,97,a,OTU1
plate11.B7,B7,11_12_2015,Eyach,97,a,OTU2
plate11.B8,B8,11_12_2015,Eyach,136,a,OTU1
plate11.B9,B9,11_12_2015,Eyach,149,b,OTU1
plate11.C1,C1,11_12_2015,Eyach,116,a,OTU1
plate11.C10,C10,11_12_2015,Eyach,137,a,OTU1
plate11.C11,C11,11_12_2015,Eyach,124,a,OTU1
